iteration,label,collective_prediction,collective_accuracy,mean_individual_accuracy,knowledge_coverage,knowledge_propagation_gain,message_count,learned_features,communication_density,communication_efficiency,emergence_score,collective_intelligence_score
1,0,0,1.0,1.0,0.95,0.5125,84,82,0.22105263157894736,0.09855769230769229,0.3522115384615384,0.7956634615384615
2,1,1,1.0,0.6,0.9,0.47500000000000003,84,76,0.22105263157894736,0.09134615384615385,0.5132692307692308,0.8339807692307692
3,1,1,1.0,0.9,0.95625,0.51875,84,83,0.22105263157894736,0.09975961538461539,0.399639423076923,0.8111418269230769
4,1,1,1.0,1.0,0.9375,0.49375,84,79,0.22105263157894736,0.09495192307692307,0.3471153846153846,0.7916346153846154
5,0,0,1.0,1.0,0.95625,0.48125000000000007,84,77,0.22105263157894736,0.09254807692307693,0.35319711538461535,0.7972091346153847
6,1,1,1.0,1.0,0.95,0.49999999999999994,84,80,0.22105263157894736,0.09615384615384615,0.3517307692307692,0.7955192307692307
7,1,1,1.0,1.0,0.95625,0.46875000000000006,84,75,0.22105263157894736,0.09014423076923078,0.3527163461538461,0.7970649038461538
8,0,0,1.0,0.8,0.91875,0.5125,84,82,0.22105263157894736,0.09855769230769229,0.4312740384615384,0.8131322115384615
9,1,1,1.0,1.0,0.96875,0.4875,86,78,0.22631578947368422,0.0919811320754717,0.35745872641509435,0.8009876179245283
10,1,1,1.0,1.0,0.9625,0.45625000000000004,86,73,0.22631578947368422,0.08608490566037737,0.35409198113207546,0.7987275943396226
11,0,0,1.0,1.0,0.94375,0.5375,86,86,0.22631578947368422,0.10141509433962265,0.3505955188679245,0.7939286556603773
12,1,1,1.0,0.8,0.96875,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.44604363207547165,0.8275630896226415
13,0,0,1.0,0.9,0.94375,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.3946521226415094,0.8071456367924528
14,0,0,1.0,1.0,0.9625,0.47500000000000003,86,76,0.22631578947368422,0.08962264150943397,0.35479952830188677,0.798939858490566
15,0,0,1.0,0.95,0.96875,0.38749999999999996,86,62,0.22631578947368422,0.07311320754716981,0.376185141509434,0.8066055424528301
16,0,0,1.0,1.0,0.975,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.3582311320754717,0.8024693396226414
17,1,0,0.0,0.4,0.9375,0.4125,86,66,0.22631578947368422,0.07783018867924528,0.3436910377358491,0.29060731132075474
18,1,1,1.0,0.6,0.9375,0.49375,86,79,0.22631578947368422,0.09316037735849057,0.5267570754716981,0.8455271226415094
19,0,0,1.0,0.7,0.95625,0.5062500000000001,86,81,0.22631578947368422,0.09551886792452832,0.4887912735849057,0.8378873820754718
20,1,1,1.0,1.0,0.95,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.3518396226415094,0.7955518867924529
21,0,0,1.0,0.8,0.9125,0.51875,86,83,0.22631578947368422,0.09787735849056604,0.4289504716981131,0.8111851415094339
22,0,0,1.0,0.7,0.93125,0.45625000000000004,86,73,0.22631578947368422,0.08608490566037737,0.4781544811320755,0.8296963443396227
23,1,1,1.0,0.95,0.93125,0.47500000000000003,86,76,0.22631578947368422,0.08962264150943397,0.3663620283018868,0.7961586084905661
24,1,1,1.0,1.0,0.9375,0.475,86,76,0.22631578947368422,0.08962264150943396,0.3460495283018868,0.791314858490566
25,0,0,1.0,1.0,0.9375,0.4875,86,78,0.22631578947368422,0.0919811320754717,0.34652122641509436,0.7914563679245283
26,1,1,1.0,0.5,0.9125,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.5637146226415094,0.8516143867924528
27,0,0,1.0,1.0,0.91875,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.33854363207547167,0.7853130896226415
28,1,1,1.0,0.95,0.9625,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.37871462264150946,0.8061143867924528
29,0,0,1.0,1.0,0.9125,0.56875,86,91,0.22631578947368422,0.10731132075471699,0.34083726415094334,0.784751179245283
30,1,1,1.0,0.8,0.98125,0.53125,86,85,0.22631578947368422,0.10023584905660378,0.4534846698113207,0.8322954009433963
31,1,0,0.0,0.5,0.925,0.43125,86,69,0.22631578947368422,0.0813679245283019,0.34002358490566037,0.2870070754716981
32,1,1,1.0,0.85,0.98125,0.5375,86,86,0.22631578947368422,0.10141509433962265,0.4312205188679245,0.8256161556603774
33,1,1,1.0,0.95,0.95625,0.49375,86,79,0.22631578947368422,0.09316037735849057,0.3758195754716981,0.8039958726415094
34,1,1,1.0,0.7,0.9375,0.40625,86,65,0.22631578947368422,0.07665094339622641,0.4784551886792453,0.8310365566037736
35,0,0,1.0,0.8,0.9625,0.44375,86,71,0.22631578947368422,0.08372641509433962,0.44362028301886786,0.8255860849056603
36,1,1,1.0,1.0,0.9375,0.525,86,84,0.22631578947368422,0.09905660377358491,0.347936320754717,0.7918808962264151
37,0,0,1.0,1.0,0.925,0.5062500000000001,86,81,0.22631578947368422,0.09551886792452832,0.34285377358490565,0.7878561320754718
38,1,1,1.0,1.0,0.96875,0.46875,86,75,0.22631578947368422,0.0884433962264151,0.356751179245283,0.8007753537735849
39,1,1,1.0,0.8,0.91875,0.46874999999999994,86,75,0.22631578947368422,0.08844339622641509,0.42925117924528294,0.8125253537735848
40,0,0,1.0,0.8,0.95,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.4394811320754716,0.8218443396226414
41,0,0,1.0,1.0,0.94375,0.49374999999999997,86,79,0.22631578947368422,0.09316037735849056,0.34894457547169805,0.7934333726415094
42,1,1,1.0,1.0,0.91875,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.34090212264150943,0.7860206367924528
43,1,0,0.0,0.4,0.9375,0.54375,86,87,0.22631578947368422,0.1025943396226415,0.3486438679245283,0.2920931603773585
44,1,1,1.0,0.7,0.975,0.44999999999999996,86,72,0.22631578947368422,0.08490566037735849,0.49323113207547176,0.8429693396226416
45,1,1,1.0,1.0,0.94375,0.5125,86,82,0.22631578947368422,0.09669811320754716,0.3496521226415094,0.7936456367924528
